,tokenisasi,Label
0,rt megatop conannkri ccicpolri mohmahfudmd negara demokrasi hukum hrs adilibarat kereta api relnyakereta api,2
1,jokowi harga pd gaji aparat negara gk naikyg enak mah jabat politik gaji segudangmrk gk peduli kena,0
2,xx coba usir bersih air planet gagal tukar air ,0
3,jokowi haturnuhun presiden jokowi kenan kunker kampung,1
4,rifanrobani catatanali erickthohir jokowi titis,1
5,rt delightbee jokowi pertamina kemenbumn ya rakyat mu rindu,2
6,jokowi pertamina kemenbumn ya rakyat mu rindu,2
7,presiden jokowi terang pers kunjung kerja pasar sukamandi kabupaten subang jawa barat ,2
8,rt jokowi dunia alami kurang pangan manamana kondisi sedia pangan indonesia aman bala,2
9,rt jokowi situasi dunia disrupsi bidang pangan energi tekan menteri utama ,2
10,megatop ccicpolri mohmahfudmd jokowi iya bener bang bebas rambu rambu yg hukum yg runtuh,2
11,jokowi waduk sdh benah tengah ramai nyinyir skrg pem tingkat tahan pangan jd hrs klu,2
12,luckman lukmanrudianto bliliang dennysiregar jokowi ganjar junjung bong cebong seka,2
13,rt yaniarsim  untung jokowi ga denger,0
14,rt yudiset presiden jokowi hati hati yg suka makan roti makan mie harga perang ukraina jadi ,0
15,katzedikke erickthohir jokowi cie kata cakep gloriahermawan,1
16,rt desamakmur media massa corong informasi desa tersebarluaskan media massa jokowi halimiskandarnu ,1
17,rt uyokback tuh dab jokowi dengar omong hasto pdiperjuangan,1
18,rt infosebelah sultan mah bebas bukti salah nga tahan tekan publik kencang paksa tahan tp borgol ,2
19,rt nichosilalahi ayo rakyat indonesia hancur oligarki jahanam berpangk,1
20,rt valosenadya erickthohir jokowi rick you ceo korporasi seblm masuk politik you tau persis tumbuh ekonomi tak,0
21,presiden jokowi respons awak media kait ganti wakil ketua kpk lili pintauli siregar presiden,1
22,erickthohir jokowi omong kosong orang miskin amp bodoh makan dg tipu daya ,1
23,conannkri ccicpolri mohmahfudmd negara demokrasi hukum hrs adilibarat kereta api relnyake,0
24,erickananta richardws jokowi lombok mahal daya beli masyarakat turun akhir,2
25,rt gratisterbaik jokowi musuh perintah rakyat per patuh hukum wakil penting ,1
26,sapporojack heryidris divhumaspolri ccicpolri jokowi listyosigitp kepolisianri kspgoid hub ,1
27,katzedikke erickthohir jokowi nih ketemu lawan sejati wkwkw,2
28,rt rawa ditegor harisson ford ditegor jokowi nurut ditegor panggil tuhan kalo bahasa be,1
29,kerja pakde jokowi semangat,1
30,rezimbiadab catatanali erickthohir jokowi pola nya,0
31,gas pol pakde jokowi,2
32,rt erickthohir pasar sukamandi presiden jokowi bantu perintah pacu tumbuh ekonomi pascapand,2
33,jokowi lahan tani hilang harga pupuk harga gabah cenderung stagnan tani padi,0
34,machbeach lukmanrudianto bliliang dennysiregar jokowi persis junjunganye kadron ga selangkanga,2
35,nih instruksi presiden jokowi,2
36,rt ipehtetapnganu halooow jokowi becandanya lewat eneh ,0
37,erickthohir jokowi yg awam jg tau kale klo pacu tumbuh bikin bijak yg pro rakyat klo duit mah nama nyogok,0
38,jokowi gas pol tahan pangan,1
39,jokowi gas pol tahan pangan,1
40,rt mudasirromini jokowi moga presiden jokowi sukses amp sehat amin,0
41,jokowi fix bahasa halusynya jokowi sembako wes apal klakuane,1
42,jokowi gas pol tahan pangan,2
43,jokowi pupuk hancurn ngomong sedia pangan harga jual anjlok solusi gmn pakatau solusi dr rakyat,2
44,erickthohir jokowi et dah trus tuh dagang lngsng jd sultan hidup senang maut jemput,2
45,kuat ekonomi indonesia yasonna ikut diskusi meja bundar swiss website,1
46,sahabatsaber jokowi laku zulhas malu kabinet,2
47,rt circleflfe presiden jokowi gas pol tegak hukum pinginnya sih gitu tuju adil restoratif ,2
48,rt circleflfe perintah jokowi gas pol tahan energi jaga tahan energi nasional pertamina dongkrak produksi mig,0
49,rt circleflfe presiden jokowi tinjau langsung balai teliti tanam padi bbpadi kabupaten subang jawa barat ini,0
50,rt circleflfe terang pers presiden jokowi kunjung pasar sukamandi kabupaten subang jawa barat presiden bagi ba,2
51,rt circleflfe kunjung kerja presiden jokowi kabupaten subang jawa barat kunjung kerja daerah pres,0
52,erickthohir jokowi memang negara batas pasar sukomandi,1
53,triobenga jokotol eksunartoclp sigamubit jokowi yg stop impor besar yg maksud,2
54,detikcom heran seh knp kmrn jokowi milih menteri,1
55,rt ndrairawan idm tingkat ipm tingkat semangat bangun indonesia desa jokowi halimiskandarnu imansyukri malikha,2
56,gusarifin jokowi tae quda,2
57,penjagajokowi jokowi tau sih alsannyaku liat prabowo damping jokowi adeem gitu moga,0
58,jaenoxtm erickthohir jokowi jabat maling yg nyata,1
59,narasinewsroom slogan presisi nya kapolri listyosigitp cerita kes paksa ba,1
60,rt tjhoois indonesia hebat  tdk dlm negara yg ancam bangkrut bawah perintah jokowi elemen masyaraka,2
61,rt imbangimedia hutang rp triliun aja chaos amp jabat lari sih tenang aja hutang gt ,0
62,aqylahnadya komnasham komisiyudisial najwashihab matanajwa mahkamahagung mohmahfudmd ylbhi awkarin,2
63,presiden jokowi kunjung kerja kabupaten subang jawa barat syukur ped,2
64,andisharif pa jokowi donk kartu,0
65,keren si ompung jokowi tanya batas mindahinnya kalo mrka nolak trus lu,2
66,nichosilalahi jokowi gas keun,2
67,jokowi aparat hukum mohon tertib,0
68,rt jokowi temu bicara presiden rusia vladimir putin kamis sore istana kremlin sampai,2
69,rt puspaswarna romeowalker kpkri jokowi negara udh pny polisi utk urus korupsiyudikatif dg polrinya eksekutif,1
70,rt jokowi meja bundar presiden zelenskyy bincang istana maryinsky kyiv jalan kota ukrain,2
71,rt romeowalker puspaswarna kpkri ber andai mpus presiden jokowi sudi dg serius fungsi kpkri sesuai dg,1
72,negatif,0
73,erickthohir jokowi pacu ekonomi bantu gelintir orang citra,1
74,rt abdulhaadi mimpimuhammadqasim terus nyata orangorang lalai sesal di,1
75,jokowi minyak mahal cabe mahal blusukan ga ad hasil gaikhlasbayarpajak,2
76,gratisterbaik jokowi warga negara sama duduk hukum perintah wajib menjunj,1
77,jokowi lawan pandemi,1
78,rt blookier gimana jokowi nakes laku kaya gin kalo ga bayar hak henti kerja nura,1
79,dana desa tahan pangan capai mantap jokowi,1
80,tjitrosoenarjo divhumaspolri listyosigitp internal polri labu bagamana kas,0
81,romeowalker kpkri jokowi negara udh pny polisi utk urus korupsiyudikatif dg polrinya eks,0
82,jokowi gas pol tahan pangan,1
83,rt htklnl jokowi selesai kisruh henti berfihak rakyat angkat topi anda,0
84,jokowi maju kena mundur kena,0
85,larosa lazadaidcare lazadaid cnnindonesia detikcom blt jokowi gantanda bang,0
86,hutang rp triliun aja chaos amp jabat lari sih tenang aja hutang gt,2
87,jokowi muhun les kade nincak cangkang cau ahhh,0
88,rt odhe kembali partai jokowi kspgoid,1
89,johnsonpurbash nyaiibubu cnnindonesia hariankompas tmcpoldametro metrotv divhumaspolri jokowi,2
90,rt erickthohir jalan pagi presiden jokowi pramonoanung syahrulyl sambut hangat wakil gubernur jawa ,0
91,erickthohir jokowi gak salah tuh followers like  tutup akun aja mas,2
92,erickthohir jokowi bantu comot emang pacu tumbuh ekonomi cuy,2
93,erickthohir jokowi ketawa takut dosa,2
94,erickthohir jokowi haduh ga malu dukacangin ama nitizen,2
95,tjitrosoenarjo jokowi ruwet laah hormat institusi,0
96,rt theplu indonesian president jokowi inaugurated garuda vishnu statue world tallest hindu sculpture in bal in presence of co,2
97,mihrab helineningrat jokowi ok mana,2
98,rt theplu thousands attended the ceremony where traditional dancers performed amp fireworks lit up the night sky in celebration of indone,0
99,rt nichosilalahi brengsek nih tri lo gaji biaya rakyat stabilitas harga butuh kampanye menang,2
100,rafifauliyan erickthohir jokowi lbih cerdas ide,1
101,rt iamjackthe erickthohir jokowi amplop kuasa tp ga paham macromana impact tumbuh ekonomi  ekon,1
102,genbewise erickthohir jokowi kaya gin serakah yutuber aja hhhhhpriseden tugas luas,1
103,rt nyaiibubu adil bu guru hina rizieq nonaktif halo menteri nadiemmakarim kemdikbudri divhumaspolri le,0
104,puspaswarna kpkri ber andai mpus presiden jokowi sudi dg serius fungsi kpkri sesu,1
105,erickthohir jokowi gw karang pikir gw bentuk citra pimpin janji ia,0
106,hai bagi wisata aplikasi desawisatanusantara sdgsdesa jokowi halimiskandarnu imansyukri,2
107,fredmansel iqbaal detikcom jokowi yg goblok yg suruh pindah,2
108,erickthohir jokowi jaga harga komoditas harga sembako harga bbm stabil jangkau,1
109,aripras jokowi wakapolri turun langsung olah tkp trus gada polisi yg komen lucu yg sudah,1
110,rt ngurahwidyaarta menteri desa pdtt harap bumdesa ujung tonggak ubah ekonomi sumber jokowi hal,0
111,partaisocmed ccicpolri divhumaspolri jokowi ayo itulo makar masak dibiarin polri,0
112,jokowi halah pakk,0
113,aripras jokowi ruwet pras yg meriksa propam propam sidik bos propam ber,2
114,erickthohir jokowi sekolah jk teori tumbuh ekonomi bs meberikan ,1
115,rt jokowi air kunci tahan mandiri daulat pangan bangun bendung tanah ,2
116,rt gankofpetojo eh mas jokowi rajapaksa rajapaksa kejar krn gak bobon kaos catat jgn se,0
117,jumjumareka erickthohir jokowi sukamandi tu nama daerah ya,0
118,kohen erickthohir jokowi indonesia goblok kek pasu cebong,2
119,rt veelaarhie ga tanggap ccicpolri tetep gue laporin akun kadrun anjenk bobbyandhika yg posting edit wajah pa jokowi ,2
120,rt ferdinandhutah sy advokasi anak korban predator sex nama ss diri jawa timur yg hukum penjara,2
121,jokowi lombok bawang merah mundak kabeh bos harga makan lek mundak yo repot tulong bos,0
122,uyaboira jokowi menteri yg tolong kondisi laku sedih,2
123,genbewise erickthohir jokowi lha yaitulahsekelas memteri wawas nasional wawas sukamandi,2
124,rt sastro antros teukufachrians jokowi nggk gerak model kyak gitu nikmat kenyang,0
125,erickthohir jokowi pasar tradisional pelosok indonesia diblusukin cuman pasar sukamandi aja,0
126,erickthohir jokowi pramonoanung syahrulyl,0
127,rt slametp antros jokowi,0
128,rt slametp antros jokowi,0
129,rt slametp antros jokowi,1
130,erickthohir jokowi model tambal sulam kuat liat tuh jln yg baik dgn cr,2
131,rt muhamma antros jokowi indonesia spt srilangka krn bijak perintah pusat yg rakyat sem,2
132,rt dampakindra antros msaiddidu jokowi,2
133,rt antros srilanka jokowi nanya gak larang,1
134,erickthohir jokowi kasih bantu sengsara umur hidup ,0
135,terang lepas serah presiden makna iduladha momen tebar baik dan,2
136,tunai ibadah salat iduladha jemaah presiden joko widodo simbolis serah bantu kemasyara,2
137,rt raishussin indonesia is working hard on the food security front listen to president jokowi on the self sufficiency level for rice ,2
138,erickthohir jokowi kualitas tri indonesia,2
139,kemetrian bumn erickthohir jokowi mohon perhati peduli bantu untk selesai putus,2
140,idm indikator hadir nya dana desa kontribusi nyata maju desa kabupaten pandeglang,2
141,luckman lukmanrudianto bliliang dennysiregar jokowi teriak babi cebong kaum savebabi,2
142,emakdasteran erickthohir jokowi bantu gak sengsara umur hidup ,2
143,presiden jokowi iriana rantis stadion taruna akademi polisi pre,2
144,aryprasetyo wahyu beda bro ari panglima nya sibuncit dkk kadrun serasa bebas mer,2
145,detikcom hukum bechi berat minimal thn penjara pesantren tutup pesantren amp keluarga bechi menang,2
146,jokowi prabowo erickthohir depkesri pbidi whoindonesia blogdokter dokterprima cvspharmacy cdcgov,2
147,katzedikke erickthohir jokowi krisis pangan dunia indonesia ekspor beras negeri,2
148,hai bagi wisata aplikasi desawisatanusantara sdgsdesa klik jokowi,1
149,rt jokowi subang jawa barat unjung pasar sukamandi temu dagang bagi bantu ,2
150,rt gusarifin yth jokowi nyuwun sewu pakmohon sanget menteri ganti nggih,2
151,erickthohir jokowi konsep ngasih ikan ngasih alat pancing bro,0
152,ritzkyraditya ahmadmuhammd kai paksa ngutang ama jokowi regime,0
153,santanha jokowi,0
154,rt veritasardentur jokowi oposisi gak kredibel kasi hati,0
155,idextratime listyosigitp jokowi,1
156,devanavedraza yusufdumdum jokowi jaga bersih buang sampah tempat ya njing ,0
157,erickthohir jokowi,2
158,jokowi milih menteri asal hasil ya asal,0
159,lanyallaacademy lanyallamm jokkowi maaf lupa tiati jokowi,0
160,juang jokowi amiiin,0
161,rt dikiadam erickthohir jokowi,2
162,rt cakhariy jokowi mendag zulhasan yg hasil turun harga minyak goreng rp dpt liter gratis he,2
163,erickthohir jokowi tri lucu ngomongin tumbuh ekonomi yg butuh bijak yg pihak pad,1
164,rt mahasiswigenz hormat presiden jokowi utang budi sih pan zulkifli skali ,2
165,maya dennisauya jokowi zulhas jual minyak goreng kampanye anak dpr ri,1
166,mrsrachelin agama yg cabut izin nya gpp jokowi,2
167,rt jumiantork ayo bang zulhasan fokus kerja jalan tugas presiden jokowi turun harga migor cari solusi yg ,0
168,akunrecehpeduli jokowi presiden konyol,2
169,erickthohir jokowi situ waras menteri,2
170,apriliciaarifah yusrilihzamhd jokowi mohmahfudmd dprri bawasluri sistim perintah pusat pus,1
171,gw mah gak ngerti ama lo dro dro hendropriyono ama anak si diaz hendropriyono tau gw gak megang cash ,1
172,baichunlian menluri jokowi,1
173,presiden joko widodo serta iriana joko widodo tunai salat iduladha hijriah masjid istiqlal jaka,2
174,arybandung jokowi tuju bang,2
175,perintah bangun palapa ring integrasi program public privat patnership respect kemkominfo,2
176,rt kemhanri menteri tahan prabowo subianto prabowo tunai ibadah salat iduladha damping presiden joko widod,2
177,detikcom baik kadiv divpropampolri undur peristiwa trjadi rumah pas,1
178,santanha jokowi daulat data buka informasi desak,1
179,desa wisata nusantara jokowi halimiskandarnu kemendespdtt malikharamain imansyukri,1
180,rt cybsquad janda indonesia amp tagih janji jokowi,1
181,rt mihel pretttttsisi kerja listyosigitp jokowi tolong ganti kapolri,1
182,menteri yg niat kontestasi sdh dr kmrn sdh kampanye tdk direshu,1
183,blookier jokowi mentionnya mata najwa jg kak klo mata najwa cepet,1
184,infosebelah jokowi divpropampolri divhumaspolri kejaksaanri aryprasetyo kesittt cerah kasu,1
185,idm tingkat ipm tingkat semangat bangun indonesia desa jokowi halimiskandarnu imansyukri,1
186,negatif,0
187,akherat jokowi azab yg pedih jabat kabinet jokowi terima azab yg dahsyat ,2
188,positif,2
189,anaktermudaa erickthohir jokowi,1
190,jokowi ,1
191,delzitaz erickthohir jokowi hooh,1
192,salah jokowi yg pilih zulhasan,1
193,rt aryprasetyo ayangutriza purwawicak khofifahip untagsurabaya kejaksaanri hukum berat julianto ekaputra traum,2
194,rt widwira nkri setia ideologi pancasila bhinneka tunggal ika uud ormas kuasa nkri ,1
195,apriliciaarifah yusrilihzamhd jokowi mohmahfudmd dprri bawasluri data bilang bangun waduk,1
196,jabat mendag hrs nya bebas parpol dagang mata cahari negeri menteri professional yg sudah,2
197,yth jokowi tolong baca thread janji kampenye mu loh masuk ,1
198,erickthohir jokowi bantu yg rata,2
199,jokowi maaf presiden yg mulia yg turun hargaharga butuh pokok,2
200,erickthohir jokowi wkwkwkwkwklawak,1
201,tjitrosoenarjo jokowi berani transparan hebat,2
202,jumiantork zulhasan jokowi kagak peduli urus keluarga duluyang nomer sekian,1
203,rt papaloren erickthohir jokowi klo cm dg kunjung amp bantu satu pasar bs tingkat tumbuh ekonomi sptnya pre,1
204,erickthohir jokowi kayak menteri bagi migor kampanye anak,2
205,gusarifin jokowi,1
206,momen presiden jokowi anugerah tanda hormat bintang bhayangkara nararya wakil terima tand,2
207,rt sirsazly amer jokowi kat malaysia tolak  merc vellfire samun main innova ni ,0
208,rt lisatjandra psantoda divankri listyosigitp kapolri kecut gantikapolri jokowi,1
209,herusanto jokowi george hamilton alexander the great ehke cleopatra  ,1
210,jokowi jllintas perdagangansiantar kab simalungun sumatra utara batas dg kota limapuluh kab batubara suma,1
211,jokowi jokbisa kerja,2
212,loveofspeechz erickthohir jokowi lanjut kpkri,1
213,jokowi pupuk susah dr musim musim saprodi yg harga hsl hrga gabah stagnan cenderung turun,1
214,ruhutsitompul jokowi indonesia sesuai dgn konstitusi yg bebas aktif dlm gaul duniapresiden jokowi usaha,1
215,hyangwisnu kemkominfo platejohnny jokowi aryprasetyo farrel dnbil delardian firzahusainid,1
216,rt hyangwisnu hadir fekdi menkominfo cepat bangun infrastruktur digital cepat bangun infrastruktur ti,1
217,rt maya mohon maaf jokowi sibuk kampanye anak,1
218,paul waterpauw the people of west papua thank president jokowi for his care the meat of cattle slaughtered dur,1
219,tjitrosoenarjo salah jokowi pilih listyosigitp kapolri jd ya terima kerja polisi yg rada jengkel,1
220,valosenadya erickthohir jokowi heran kelas menteri gak malu ngomong sial bener,1
221,komnasham kompolnasri kspgoid jokowi,1
222,hyangwisnu kemkominfo platejohnny jokowi menkominfo johnny plate target pusat data digital bas in,1
223,rt amer knp respek jokowi je amek hadiah tu tpi pilih utk tolak tatkala rakyat byk yg dihimpit susah beliau,2
224,hendrikk ganti kapolri dehjokowi klo ganti kapolri kerepot,2
225,rt hyangwisnu kominfo target pdn menkominfo johnny plate target pusat data digital bas internet cloud,1
226,negatif,0
227,democrazymedia presiden jokowi denda nama program perintah,0
228,presiden jokowi kena setel jas warna biru iriana kena kebaya warna putih te,1
229,mbroo mental orba pecatt ae dhe jokowi,0
230,rt penjagajokowi tempuh jalan jam kota gunungsitoli presiden joko widodo darat pangkal udara so,1
231,simbokesarah jokowi ikulah hebat pakde cerdas rakyatagar nilai,2
232,katzedikke erickthohir jokowi percaya masyarakat turun blusukan koentji,2
233,hyangwisnu kemkominfo platejohnny jokowi menkeu dukung anggar tsb butuh banyak,2
234,yaniarsim jokowi bubar sampi niru srilangka,2
235,rt hyangwisnu anggar kominfo menkeu luas infrastruktur digital dukung anggar menkeu butuh karen,2
236,jokowi salah langkah pilih menteri partai dpppan yg jabat seb,2
237,katzedikke hirahito erickthohir jokowi screenshoter all,2
238,erickthohir jokowi kalo ken bantu pacu tumbuh ekonomi pasca pandemi ya atur bijak ,2
239,tinjau bbpadi jokowi gudang plasma nutfah simpan koleksi kons,2
240,ruhutsitompul jokowi jujur terang org yg survei lembaga surveiutk,2
241,erickthohir jokowi hahahah lamalama ken  ngidam pulak bang,2
242,hyangwisnu kemkominfo platejohnny jokowi usaha rintis digital alias startup rupa,1
243,wagimandeep apa alasannyaapapun prestasi listyosigitp lupa jokowi yg naik jad,0
244,rt hyangwisnu startup lulus ssi batch kominfo usaha rintis digital alias startup ,1
245,jokowi dunia alami kurang pangan manamana semua,1
246,hirahito erickthohir jokowi presiden kerja yg receh,2
247,erickthohir jokowi amatir,0
248,hotlanbela karedokleunca cakmugik listyosigitp mohmahfudmd ccicpolri jokowi gk harga wibawa,0
249,saya balai padi menteri tani sedia pangan utama beras kar,1
250,presiden jokowi tinjau langsung balai teliti tanam padi bbpadi kabupaten subang jawa barat,1
251,president jokowi west papua administration donate cows for idul adha westpapua,1
252,mncrgknskl jokowi hahhaahahahahhahahahahaha lawaakk bgtt,1
253,katzedikke erickthohir jokowi kalo ken bantu pacu tumbuh ekonomi pasca pandemi ya atur bijak,1
254,jokowi pasti sedia pangan jokowi,1
255,afisanusi marquez jokowi dukun aja manfaat,0
256,erickthohir jokowi kasihan bener indonesian kualitas yg jabat,1
257,rt krtkpdpro hallo jokowi dengar keluh rakyat riau,1
258,hyangwisnu platejohnny kemkominfo jokowi farrel dnbil aryprasetyo yudiluhur nakula,1
259,hadir bendung jg manfaat bangkit listrik tenaga mikrohidro pltm mw ,1
260,rt hyangwisnu bangun infrastruktur digital rakyat menkominfo apresiasi dukung menkominfo platejohnny ,1
261,marquez jokowi orang tolol yg nggak sembuh hasil makan taik yg suguh dgn merk coklat,1
262,jokowi bodo maat,1
263,rt selenalauraaa masyarakat nusa tenggara timur terima kasih presiden jokowi pt pelni yg sdh sedia kapal tol laut ,1
264,sejaktergusur tatakujiyati jokowi mdyasmara ekowboy hahahaha pea lo,1
265,jokowi emang intruksi jalan ama mentripaling lepehin,1
266,ruhutsitompul ms kabanbilang indonesia martabat pimpin yg sdh jlsotak hatin,1
267,lapor jokowi,1
268,jokowi mkn urus benih swasembada kpn nyampe son veak,0
269,sambut iduladha presiden joko widodo salur bantu masyarakat hewan kurban sapi kepada,2
270,rt carolin jokowi gaspol maju desa menteri desa bangun daerah tinggal transmigrasi abdul halim iskandar ,1
271,bangun bendung beringin sila tuju optimal penuh butuh irigasi air baku khusus,1
272,rt caexpoonline indonesian president jokowi and visiting chinese scamp fm wang yi agreed on monday to foster new growth points and deepe,1
273,odhe jokowi kspgoid emang sulit banget yaa cari orang yg bener kompeten utk ngurusin dagang indonesi,1
274,sheptianoctav jokowi udah mertua nanyain benih,0
275,rt renahoston cemas presiden jokowi ada kunjung ukraina rusia bangga yg rasa ,2
276,bendung beringin sila salah enam bendung proyek strategis nasional psn bangun ,1
277,erickthohir jokowi stop deh bohongin rakyat pal,0
278,erickthohir jokowi gak akhlak,0
279,gankofpetojo jokowi,1
280,rt syahrulyl damping presiden jokowi tinjau kembang benih unggul hasil balai teliti tanam padi ke,1
281,roesianam jokowi sdh watak moral rendah jd menhut zaman beye smp katain harison ford br minggu jd mend,1
282,hyangwisnu kemkominfo platejohnny jokowi komentar negatif dampak buruk rekam jejak kemkominfo platejohnny,0
283,rt hrmnt pasti sedia pangan presiden tinjau balai teliti tanam padi subang presiden jokowi tinjau langsun,1
284,rt johanadhi konflik penting zulhasan jokowi feriamsari zainalamochtar mohmahfudmd alvinlie burhanmuhtadi yunartowijaya ,1
285,ikramdewan jokowi jalan padang lampung an hutan lebat sawah ,1
286,rt pejuangind tugas hukum ngapain aja sihada akun kadrun pakai ava presiden tuhlalu sebar hoax amp fitnah deh ccicpolri divhumas,1
287,direktorat jenderal sumber daya air target bangun bendung beringin sila desa camat utan,1
288,jokowi tuju loh mas joko,1
289,rt jokowi korban ikhlas syukur hadirat allah maha kuasa hidup manusia makna ,1
290,dana desa tangan pmk tppjawatimur tppitulungagung jokowi halimiskandarnu,1
291,mari taruh pasang homo pulang kemarin pakai hot pants  kali aka,1
292,hyangwisnu kemkominfo platejohnny jokowi tinggal rekam jejak negatif media sosial kemkominfo platejohnny,0
293,pakguruhonorer jokowi hahaha jokowi berani berani bohongin pilih,0
294,erickthohir jokowi modalin barbershop dongbantuan perintah,0
295,pertamina mohon cerah harga pasar indonesia mahal dr malaysia ron vs ro,1
296,fredmansel iqbaal detikcom jokowi gak logis solusi suruh pindah,1
297,indonesia is working hard on the food security front listen to president jokowi on the self sufficiency level fo,1
298,bendung beringin sila sumbawa target rampung jokowi,1
299,hyangwisnu kemkominfo platejohnny jokowi etika jaga ruang digital kemkominfo platejohnny,1
300,presiden jokowi bantu kuat daya beli masyarakat tingkat,2
301,erickthohir jokowi bhuahaha kasih amplop naikin ekonomo rakyat ga yg elegan ,0
302,fachrudinrozi infosebelah jokowi divpropampolri divhumaspolri kejaksaanri aryprasetyo kesittt cerah beking kaseto,1
303,daddyashari jokowi menteri titip panci,0
304,infosebelah jokowi divpropampolri divhumaspolri kejaksaanri aryprasetyo kesittt cerah laku ga ka,1
305,ganjarpranowo dinaslhkabmagelang pemkabmagelang jokowi,2
306,nechhh iqro tatakujiyati mdyasmara mskaban otak pd rada trcerahkan ind yg di,0
307,jokowi kiyaimarufamin hrs nonton cuplik video lg universitasairlangga cctv,1
308,trahmunir kompastv dinopattidjalal jokowi ciye begoknya smpe tua,0
309,rt ikramdewan yulhar jokowi akhhh gak sumatera mna tuhh nya tinggal sumatera,1
310,jumiantork kanjengraden zulhasan jokowi langkah catur jokowi markotop pangku,0
311,erickthohir jokowi nyong suka lawa inita putar terusmakin ketawa bae,0
312,hyangwisnu kemkominfo platejohnny jokowi bijak media sosial katakata tidak,2
313,erickthohir jokowi statement capres,1
314,jokowi gas pok literasi uang komitmen kembang literasi uang tani nelayan jokowi,2
315,alisyarief jokowi aniesbaswedan abu janda periksa apa abu nya janda nya,0
316,jokowi yg faham eh sok an ngasi bantu rs ukraina mau cari muka rakyat ,0
317,hyangwisnu kemkominfo platejohnny jokowi hatihati jejak digital rekam kemkominfo platejohnny,0
318,jokowi semut seberang sungai nampak wujud gajah pelupuk mata keliatank,0
319,biar rezim jokowi hidup ribu allah yg tdk mungkin,0
320,oposisi plangaplongo kasih sempat presiden jokowi plangaplongo kualitas seo,0
321,jumiantork zulhasan jokowi kek pa presiden jokowi sesal tri dagang kpd,0
322,jokowi pro tara gender batas akses teknologi hambat umkm perempuan jokowi,2
323,rt andikamalreza generasi muda yg ga paham kpk ya surpres surat pres,1
324,rt ranisor panitia nasional merdeka ri dikoordinir sekretariat negara identitas tunggal pakai seba,2
325,rt oscarwh desawisatanusantara jokowi halimiskandarnu kemendespdtt ditjenpdp malikharamain imansyukri taufikmadjid yusrada,2
326,rt abdulali please help refugees in indonesia refugees uninindonesia annmaymann unhcrindo unmigration valeriejulliand iomindon,2
327,katzedikke erickthohir jokowi periode,0
328,jokowi gas pol didik anak penrinya ajar perilaku sesuai pancasila jokowi,2
329,tuju presiden jokowi ccicpolri divhumaspolri,2
330,jokowi sanggup bayar pengguran juta bulan setahunkadrun glorie bangeut,2
331,literasitypo erickthohir jokowi ntar bikin video ngintip gorong,0
