,tokenisasi,Label
332,jokotol krtkpdpro jokowi loe yg pinter ajahidup loe masik blangsatt ente yg ngaku pinter uda puya,0
333,presiden jokowi tinjau langsung balai teliti tanam padi bbpadi kabupaten subang provinsi jawa,2
334,odhe jokowi kspgoid zul zulkmu tuh udah bantu presidenjangan maen kyk kemaren,0
335,erickthohir jokowi statement tri bumnenek pasar jokowi kasih bantu perintah ibarat,2
336,projonolsatu jokowi ehm,1
337,katzedikke erickthohir jokowi tingkat percaya angka blusukan,0
338,erickthohir jokowi amplop kuasa tp ga paham macromana impact tumbuh ekonomi  ekonomi keluarga,0
339,jokowi ayo hemat pangan,2
340,fredmansel iqbaal detikcom jokowi ya kagak pindah sulit sekian ora,0
341,erickthohir jokowi,0
342,rt negerikolam lurah dukung jokowi sekjen pbb biar dunia rasa hebat ngibulnya,0
343,antojagad gopank thepzcheq gunromli jokowi cerdas my ass ,0
344,akunrecehpeduli jokowi tuju harga bbm buzzerrp dukung bijak ,0
345,rt mikeadamhalik tanggap awak media menteri berkampanyepresiden jokowi menteri fokus kerja,2
346,rt akunrecehpeduli pura fakta bbm diikutiin harga cabe langit jokowi  bbm,0
347,jokowi he arrived in your country with diplomatic passport from china and would like to be able to explain ,0
348,katzedikke erickthohir jokowi cakep nih orang,2
349,rt buayaubanan naung pancasila khilafahindonesia khilafahsaya warga indonesia dukung perintah,2
350,bantu sosial dagang jokowi bantu terima manfaat progr,2
351,syofiandemotor jokowi binofficialri nuchannels saidaqil msoekarnoputri rockcenternyc tiktoksupport capta,0
352,duckbusterr erickthohir jokowi wkwkwkwkw wkwkwkw,0
353,erickthohir jokowi mamacu tumbuh ekonomi pajabat iya negara banglades dah,0
354,tambah modal kerja usaha mikro dagang pasar dagang kaki pkl tri,2
355,yuliati jokowi halimiskandarnu nurimaulidiz mifthulmunir cakfuri iskandarnh hizbullohhuda,1
356,erickthohir jokowi si erick bego bkn nya pinter bumn suntik,0
357,erickthohir jokowi  ya pacu tumbuh ekonomi,0
358,presiden jokowi harap bantu kuat daya beli masyarakat tingkat tumbuh ekonomi ,2
359,zialogi wwwwkkewekkkkmantappppdimana presisi nya ya pakjokowi skrg kes pilih bapakcuma dasar agama,0
360,jokowi,1
361,presiden jokowi unjung pasar sukamandi subang jawa barat pasar temu dagang,2
362,erickthohir jokowi erick kurs rb signifikan dampak nya utk produsen yg muat impo,2
363,rt jokesbats maya listyosigitp divhumaspolri sukro aja bebassi topa dah ktangkep bebaspak jokowi kapan,0
364,bansos pacu tumbuh ekonomi jaga daya beli masyarakat jokowi,2
365,rt ahmadsy tpplamongan tppjawatimur semangat awal proses susun rkpdesa juli sd agustus ,2
366,erickthohir jokowi bantu duit rakyat uang pribadi kalo duit rakyat nama bantu wajib,0
367,rt selenalauraaa beri vaksinasi gratis karyawan pt pelni bentuk peduli dr perintah presiden jokowi ,2
368,jokowi your excellency president joko widodo our investor has been working for month now at the hotel in jakar,2
369,anaismawatiism jokowi,2
370,copot pdiperjuangan dpppkb partaigolkar nasdem jokowi mohmahfudmd dprri reflyhz karniilyas,0
371,yuliantowie hajeedude aprabowoadi uyokback jokowi kontol,2
372,jokowi harap harga minyak goreng curah kisar rp ribu bawah jokowi,2
373,opowaelahkeno jokowi horeeeeeeee presiden idolakuuuu,2
374,erickthohir jokowi oowwhh teori ekonomi mikroskop ya tumbuh,1
375,regdenef jokowi yusrilihzamhd ramlirizal nurmantyogatot officialmkri kirakira kalo kalah cerai gak ya penasaran,0
376,fredmansel iqbaal detikcom jokowi emang negeri milik nenek moyang kau,0
377,anaismawatiism is the best jokowi,2
378,jokowi smngt,2
379,jokowi bravo presiden,2
380,rt kmer maya jokowi nggak kapok adik tangkap kpk,0
381,jokowi benih benih siap import beras dahulu banyak ngibul ah,0
382,presiden jokowi gas pol tegak hukum pinginnya sih gitu tuju adil restoratif masala,0
383,hyangwisnu kemkominfo platejohnny jokowi payung hukum inisiatif bangun pdn cantum atur ,2
384,rt diajengbhakti rawa jokowi kesel bgt dijadiin menteri jatah koalisi hadeuh ngeselin bg,0
385,veritasardentur jokowi tuju bang kampung norak banget nih gaya bos loe sat valeryanbr onlyfrens,0
386,gw aja menkes jokowi,2
387,afisanusi marquez jokowi label yg lekat anis sbg politik identitas cuci dgn nara,2
388,syofiandemotor jokowi binofficialri nuchannels saidaqil msoekarnoputri rockcenternyc tiktoksupport kmsb,2
389,yaniarsim jokowi,2
390,iiizahrah erickthohir jokowi setujuuuu,2
391,hyangwisnu kemkominfo platejohnny jokowi aryprasetyo farrel dnbil delardian firzahusainid,2
392,rt katrinrienks rawa jokowi pilih futri anak sy ya minyak goreng gratis,2
393,balai prasarana mukim wilayah bppw malu utara wujud tingkat kualitas mukim kumuh per,2
394,inget ya inget cc jokowi,2
395,jokowi benih benih asmara ga,1
396,tjitrosoenarjo jokowi mohon jokowi perintah listyosigitp sebar hoak,2
397,rt infosebelah karna gadis bocah desa miskin je perkosa aparat tegak diam jokowi jaksa,0
398,sulap kawasan kumuh kota ternate layak huni produktif jokowi,2
399,semutkecil sehatroemah kemenkesri jokowi mohmahfudmd kemenkeu fpksdprri fraksipkb fraksigerindra,2
400,mahasiswigenz jokowi uugghhh malu banget  sampe muat media,0
401,kacau amanh turun migor migor jadi alat utk kampanye anak pan kacaaau,0
402,kemenkes monitor ketat laboratorium pasu hasil tes pcr da,2
403,partonoadjem jokowi panglima banser lg kosong tuh,0
404,johnhendrik alisyarief wwkkwkkkitu rajapaksaraja utang gk bayarya kayak diaberutang darah pahlw,0
405,pasien hasil pcr positif pedulilindungi label hitam label pasien masuk,2
406,erickthohir jokowi you ngelawak,0
407,jokowi kemenkumhamri polhukamri mohmahfudmd kemenagri ansorsatu yaqutcqoumas one step closer negara ag,2
408,rt donggaogie cintada jokowi,1
409,rt ainunaljapari rawa jokowi nunjukin kerja partai ya dah aktif ,0
410,kemenpu jokowi selesai,1
411,rakyat takut sih jokowi hadap bijaksana bpk benr pimpin yg ,0
412,instruksi muncul susul lapor masyarakat tes pcr hasil terca,0
413,ipehtetapnganu jokowi yaw nyeseekk sampe ulu ati ,0
414,erickthohir jokowi agenda giat bagus pasar pelosok nusantara pacu pe,2
415,jokowi gaspol maju desa menteri desa bangun daerah tinggal transmigrasi abdul halim iskandar menga,2
416,klo pasar harga migor curah ribu ngapain didatengin jokowi yg arti,0
417,bolukukussss umyka drsito jokowi eh babi ikut komen,0
418,perintah jokowi gas pol tahan energi jaga tahan energi nasional pertamina dongkrak produk,2
419,rt aqylahnadya komnasham komisiyudisial najwashihab matanajwa mahkamahagung mohmahfudmd ylbhi awkarin ernestprakasa kemenkumha,2
420,wagimandeep budimandjatmiko jokowi pecat menteri nga serius kerja,0
421,rt ntkeanekus rajajuliantoni jokowi met malam wamen sy program ptsl kab bekas rw sana penga,2
422,democrazymedia untung bpk jokowi presiden ri kondisi ekonomi pangan papan seandainy,2
423,psantoda divankri listyosigitp kapolri kecut gantikapolri jokowi,0
424,rt aqylahnadya sakit terima papa hukum buat laku moga dapat,0
425,lidah ngga tulang ya gin gin banget jokowi,0
426,rt aryprasetyo saksi korban kebidaban sang pedofil julianto ekaputra milik spi batu malang nya larut,0
427,maya dimaselagie jokowi pakdhe pecat zhkesuwen ngrusak kabinet,0
428,menkominfo platejohnny aplikasi super suoer apps meng,2
429,mskaban bodoh gn jokowi ga tarik angkat jd menteri,0
430,andisharif bagi ya jokowi,1
431,erickthohir jokowi gin ya pola pikir seirang menteri mukidi,0
432,ajiejalmialit jokowi ya bidjimane yak wkwkkw,0
433,pandji jokowi basukibtp yg aduhhhhh klo dlm hitung kalkulator hasilnyaeeee,0
434,uyaboira kasi jokowi remeh kibul main khianat menteri nya apes bnget jdi rakyat republik,0
435,msaiddidu syungguh jokowi,0
436,cintada jokowi,1
437,erickthohir jokowi gak sembari kampanye minyak goreng ,0
438,rt capktain menkominfo platejohnny bangun infrastruktur digital rakyat menkomi,2
439,rt safeguardindo presiden joko widodo serta iriana joko widodo tinjau pusat pasar kota medan provinsi sumatra utara hari,2
440,agungfa jokowi halimiskandarnu bppmddenpasar kismanpsm igedeyudiastana armawagede is the best jik,2
441,terang pers presiden jokowi balai teliti tanam padi kabupaten subang juli kawaljokowi,2
442,nakula karna presiden jokowi optimis bebas dri krisis ekonomi presiden pepo nahhh yg was,2
443,hyangwisnu kemkominfo platejohnny jokowi aplikasi integrasi supaya,2
444,menkes budi gunadi sadikin instruksi laboratorium periksa tes covid pasu hasil tes ,2
445,amblukang menluri jokowi,2
446,jokowi,1
447,mandaroalam erickthohir jokowi emang mampu utkb sekitar pasar,1
448,jokowi gaspol infrastruktur menteri pupr direktorat jenderal sumber daya air target bangun,2
449,kemenkes cabut izin laboratorium masuk hasil tes covid sistem jokowi,2
450,jokowi,1
451,jokowi wenang mampu kronologis yg janggal aneh,2
452,hyangwisnu kemkominfo platejohnny jokowi tata guna,2
453,gws jokowi,2
454,jokowi gaspol infrastruktur menteri pupr direktorat jenderal sumber daya air target bangun,2
455,maya julygaming jokowi anak nggak hebat anak jokowi,0
456,erickthohir jokowi pasang foto atm ekonomi bangkit,0
457,rt pakguruhonorer jokowi dar ingat,1
458,liedjievie ariefbudiawan pnlh kotamati jokowi zulhasan bener,1
459,rt agungfa terimakasih percaya latih bpd staf desa camat baturiti jokowi halimiskandarnu bppmddenpasar ,2
460,ipehtetapnganu jokowi nyesek pilih periode ngeluh malooo,1
461,rt kofielake gratisterbaik jokowi gak berani diskusi berani persekusi orang dg emosi yg stabilbego senjata,0
462,rt drsito jokowi bohong aja rakyat percayatapi akhirat gimana yah,0
463,presiden jokowi tinjau langsung balai teliti tanam padi bbpadi kabupaten subang jawa barat ha,2
464,totoandre nusantaraone jokowi mohmahfudmd yg anti pancasila bikin berita hoak dn fitnah,0
465,hyangwisnu kemkominfo platejohnny jokowi aplikasi perintah efisien kemkominfo platejohnny,0
466,jokowi naik harga rajungan makan,2
467,pandji klo anies periode jabat org yg jokowi tipe org yg kgk tanggung ninggalin jkt ,0
468,rt mysumatera presiden jokowi wajib warga indonesia pakai masker ruang covid di,2
469,hyangwisnu kemkominfo platejohnny jokowi cepat ya buat aplikasi super ,2
470,rt krtkpdpro serta aksi medan dapat polisi lap keliling aksi tdk lihat,0
471,fredmansel iqbaal detikcom jokowi gimana pindah negara tolong ajarin mas kalo gampang syarat nya pindah,0
472,helmifelis jokowi mantabz lur,2
473,mamz jakfar fredmansel iqbaal detikcom jokowi lu indosat,0
474,cbcumi jokowi sapi,0
475,rt setkabgoid pasti sedia pangan presiden jokowi tinjau balai teliti padi subang kabarkabinet,2
476,hyangwisnu kemkominfo platejohnny jokowi bener banget bikin hp lot banyak ,2
477,rt setkabgoid ganti wakil ketua kpk presiden jokowi proses kabarkabinet,2
478,erickthohir jokowi harga bbrp kali maunaik gas kokgk mikirin rakyat ya,0
479,erickthohir jokowi tolong kunjung bantu pasar indonesia biar pertumbuha,2
480,rt elmahfudzi moeldoko pelopor arah ubah mobil listrik nasional moblin pamer pevs ajang kendara listrik buat indonesia jok,2
481,erickthohir jokowi ngasih bantu kya gitu masuk tumbuh ekonomi bijak woiiii yg pengaruh,0
482,terang pers presiden jokowi kunjung pasar sukamandi kabupaten subang jawa barat presiden bagi,2
483,jokowi gaspol maju desa menteri desa bangun daerah tinggal transmigrasi abdul halim iskandar menga,2
484,moeldoko pelopor arah ubah mobil listrik nasional moblin pamer pevs ajang kendara listrik buat indone,2
485,erickthohir jokowi konyol tweet mu kelak legend rik,0
486,erickthohir jokowi kalo bilang pret kena uu ye ngapusi,0
487,rt rubby andisinulingga jaman alm hm soeharto sbyudhoyono kalo bangun diem diem aja bere,0
488,pnlh jokowi zulhasan yg ngusulin nih orang tri ya,0
489,papaloren erickthohir jokowi cakep dah kalo,2
490,maya jokowi wkwkwk partaipan nak templok waras kerja jgn citra bukti partai pan omdo,0
491,mandaroalam erickthohir jokowi bijak perlu boss,2
492,minniejuni jokowi tuju,2
493,thank god terimakasih presiden jokowi moga tuntas,2
494,rt indober presiden joko widodo resmi canang revitalisasi lapang merdeka kota medan provinsi sumatra utara ,2
495,herrommy jokowi sdh dpt transfer pa blm nihwkwkwk,0
496,erickthohir jokowi moga perintah jajar menteri solusi dampak nasional,2
497,erickthohir jokowi oooo keliling pasar sampe,2
498,erickthohir jokowi kartu sembako murah janji,1
499,rt marquez rizaarfifi jokowi negara iklim tropis bang indonesia negara yg kaya raya hasil bu,2
500,jokowi tulung mbendino mamak sambat harga bahan dapur pd ki solusi gmna,2
501,desawisatanusantara,2
502,rt mandaroalam bro erickthohir ngasih bantu pasar pacu mah ekonomi pasar doang mah level ,0
503,erickthohir jokowi lagu udah basi,0
504,laseapoyhbb jokowi kwkwkwkwkww bener bang raja ngibul asli ud go international ngibulnya,0
505,dkardiwanto ccicpolri divhumaspolri sadar gak ya akibat biar gak juntrung roy sur,0
506,jokowi mulut ngomong panagan nyata rakyat lapar,0
507,rt ferrykoto mantap pres jokowi muhadjir proses sj duga duga blm sidang koq main cabut izin po,2
508,androidak revolusi lucu jokowi,0
509,snmblex jakfar fredmansel iqbaal detikcom jokowi konteks bang,0
510,presiden joko widodo resmi canang revitalisasi lapang merdeka kota medan provinsi sumatra utara,2
511,jnp jokowi nyari kerja susah canda,0
512,erickthohir jokowi klo tani susah jual pasar bayak tengkulak potong klo jua,0
513,odhe jokowi kspgoid kasih sempat utk ubah coba coba dgn biasa lamaapa hrs kasih,0
514,kompastv nya marah diskriminasi eh gpp dech pa jokowi lulus unibraw,0
515,terimakasih percaya latih bpd staf desa camat baturiti jokowi halimiskandarnu,2
516,erickthohir jokowi muak citra woy mulia hormat baikn,0
517,rt capktain menkominfo platejohnny fiber optic indonesia putus fiber optic indonesia sendi,2
518,kasih bebas anak bawa hp sekolah pesantren langsung komunikasi keluarga jokowi,2
519,erickthohir jokowi ,0
520,alisyarief jokowi aniesbaswedan lha pakjokowi fitnah pki kafir rendah martabat ente diem aja ,0
521,erickthohir jokowi kelas perintah bilang pacu tumbuh ekonomi pp sungguh guna skali ijibuat rakyat,0
522,gusarifin dije jokowi aja umur jagung dah kayak gin duuh,0
523,iqbaal detikcom jokowi bawa jerigen malaysia gih jual ecer untung tuh,0
524,santorinissun orang jadi menteri jokowi,0
525,riyutoooo tatakujiyati brotherdjon jokowi kemenpu ya yg kerjain susah lu muter bae ,0
526,fredmansel iqbaal detikcom jokowi kalimat langsung aku klo presiden ga,0
527,lukmanrudianto machbeach bliliang dennysiregar jokowi ,0
528,gratisterbaik jokowi ,0
529,yth presiden jokowi kpk kpkri firlibahuri cari burunon harun mas presiden tdk tawa,2
530,ldi jokowi kemkominfo,1
531,riyutoooo tatakujiyati brotherdjon jokowi gue ga jadiin deny siregar abu janda acu sorry beda,0
532,sautsitumoran cc jokowi,1
533,rt penjagajokowi ketidakpastian global akibat ancam krisis pangan energi pengaruh ne,0
534,rawa jokowi dah bikin ulah,2
535,jumhanatintin genbewise erickthohir jokowi mak kisi kisi desain si tri wujud,0
536,jokowi gimana program impor beras xixixi,0
537,erickthohir jokowi kalo bikin ekonomi bangkit sih gak perintah baim aja suruh ngurusin negara,0
538,sejaktergusur tatakujiyati jokowi mdyasmara ekowboy piara marah,0
539,jumiantork zulhasan jokowi zul duhkok cupet banget nalar tdk kelas macem or,0
540,rt aryprasetyo anggar potong tambah anggar kominfo rp triliun rp ,2
541,gopank thepzcheq gunromli jokowi itubisa manata ajapasti menipudan anehnyayg tipu tdk,0
542,tatakujiyati bambangmulyono kjp program nya jokowi  anies tinggal nambah plus krn bingung bikin program,1
543,rt putramarbau wak jokowi pdiperjuanganp jalan jalan donk riau enak udel aja,0
544,halo aniesbaswedan pakjk sbyudhoyono agusyudhoyono mskaban mardanialisera komando turun,1
545,menkominfo platejohnny fiber optic indonesia putus fiber optic indon,1
546,rt kangdede presiden jokowi tolak kabupaten subang provinsi jawa barat kunjung kerja selasa jul,1
547,ipinzant onyikz fredmansel iqbaal detikcom jokowi kalo jokowi mundur yg gantiin kyai maruf loh,1
548,presiden jokowi menteri fokus kerja sibuk kampanye,1
549,erickthohir jokowi,1
550,cemas presiden jokowi ada kunjung ukraina rusia bangga yg rasa,2
551,bennykeef rakyat terima kasih minyak goreng langka bbm hukum gak dll jokowi to the moon,2
552,semutkecil kemenkesri jokowi mohmahfudmd kemenkeu fpksdprri fraksipkb fraksigerindra fpddpr,1
553,odhe jokowi kspgoid ganti wae,0
554,nkrihargamati jokowi pakjk linglung,0
555,menkominfo platejohnny fiber optic indonesia putus fiber optic indon,1
556,iqbaal detikcom jokowi apa yg sana rendang babi bebassss gak ribut spt jd nista,0
557,mamz jakfar fredmansel iqbaal detikcom jokowi gimana tuh dollar turun banyak,0
558,menkominfo platejohnny fiber optic indonesia putus fiber optic indon,1
559,ketidakpastian global akibat ancam krisis pangan energi pengaruh semu,1
560,lantas jokowi pilih zulhasan mendag jokowi butuh koalisi gemuk ya pan langsung ,0
561,hayomimir genbewise erickthohir jokowi ga percaya dr luncur,0
562,erickthohir jokowi oh gitu ya tolong ksh tau jokowi kmbalikan harga tbs tani sawit pd kisar rp ,1
563,menkominfo platejohnny fiber optic indonesia putus fiber optic indon,1
564,mamz jakfar fredmansel iqbaal detikcom jokowi kabar,1
565,rt alf dana desa atas wabah pmk jokowi halimiskandarnu kemendespdtt ditjenpdp malikharamain imansyukri taufik,1
566,odhe jokowi kspgoid adik koruptor udah vonis pake sorban ikut berat,0
567,salvatorezid playapexesports playapex easoutheastasia jokowi,1
568,mohon doa restu donasi aniesbaswedan fadlizon ganjarpranowo jokowi msaiddidu sandiuno,2
569,rt gusshodikin media corong informasi masyarakat desamembangun jokowi halimiskandarnu tppkemendes kpwjatim,1
570,republikaonline udah turun drastis jokowi sy jual daging sapi bayar lapak gerobak aja uda,1
571,rt hrmnt kemenkes cabut izin laboratorium lapor nar new all record sanksi laborato,2
572,erickthohir jokowi yg dpt bantu yg butuh bantu sisa yg gimana,1
573,semutkecil kemenkesri jokowi mohmahfudmd kemenkeu fpksdprri fraksipkb fraksigerindra fpddpr,1
574,erickthohir jokowi banyak nongol atm bgini bantu darurat,0
575,zaqi firmanf musniumar jokowi cebong kok mmg kayak ga pnya cermin aja wkwkw,0
576,rt damaitanpa pakdhe jokowi rakyat indonesia doa moga sehat kuat kokoh,2
577,rt amblukang siang temu menlu retno selamat indonesia hasil tuan rumah temu menlu pekan terima kasih indonesia sambut hangat kunjung nasihat negara menteri negeri wang yi tukar pandang hubung bilateral temu menluri sore tindak negara bagi,2
578,syofiandemotor jokowi binofficialri nuchannels saidaqil msoekarnoputri rockcenternyc tiktoksupport mgn,1
579,erickthohir jokowi nggak ngaruh kalleeeee hadeh sopo sih seng guoblok,0
580,jokowi yg bener politik,0
581,erickthohir jokowi rakyat indonesia jt cm pasar,0
582,odhe jokowi kspgoid tahu asli sebenernya gk becus kerja,0
583,sebentar jokowi,1
584,bluejeanshitam erickthohir jokowi ak speechless,1
585,jokowi,1
586,rt agusyuliarto menteri focus kerja focus caprescawapres direshuffle jokowi siap,2
587,jokowi deuuh impor naga naga ya pa,0
588,pakdhe jokowi rakyat indonesia doa moga sehat kuat kokoh,2
589,erickthohir jokowi tumbuh muka tembok,0
590,idextratime tolong bantu jokowi listyosigitp divisihumaspolri,2
591,maya jokowi sayang anak gratisin minyak goreng,2
592,papaloren erickthohir jokowi aneh bgt sih kasih bantu pasar benahin tuh harga,0
593,erickthohir jokowi tai,0
594,veelaarhie listyosigitp jokowi mohmahfudmd divhumaspolri terap uud berla,2
595,rt edysiregar janji paduka mulia presiden jokowi rakyat indonesia,1
596,cnnindonesia drama jalan tol ya lupa mm hati comment yang,0
597,ente bacot bro tunjuk ganti jokowi amp kma lengser melulu ,0
598,xcentral riurizkiutomo divhumaspolri jokowi mohmahfudmd listyosigitp,0
599,lempar aja pohon pa  jokowi kspgoid,0
600,veelaarhie jokowi pakdhe suka ngetes org yg kritik perintah beliau dgn suruh pegamg jabatanda,0
601,jokowi,1
602,odhe jokowi kspgoid oooh saiki dadi mendag totmbe ngrti wis jan tinggal brta,0
603,erickthohir jokowi ga sia pertamina urus ahok,0
604,erickthohir jokowi bantu pasar,1
605,erickthohir jokowi,1
606,rt elngogj munknown jokowi josss,1
607,erickthohir jokowi tertawa aja,1
608,munknown jokowi josss,1
609,rt munknown tol laut jokowi orang ragu dampak turun disparitas harga daerah ,2
610,kemenkes cabut izin laboratorium lapor nar new all record sanksi la,1
611,johanadhi yunartowijaya zulhasan jokowi feriamsari zainalamochtar mohmahfudmd alvinlie burhanmuhtadi,1
612,pretttttsisi kerja listyosigitp jokowi tolong ganti kapolri,1
613,jokowi kalou protes indonesia tanding viet vs thai tolak affpresse sah,0
614,rt fyathir inaleaks selamat ulang jokowi,2
615,jokowi,2
616,rt tanmarm erickthohir jokowi,1
617,mantap pres jokowi muhadjir proses sj duga duga blm sidang koq main cabu,0
618,pakguruhonorer jokowi,1
619,rt loveagever the real nato no action talk only bacot ribut pingin turun jokowi sayang niat jahat ,0
620,erickthohir jokowi cekik bantu cekik,0
621,rt hatimata inaleaks agusyudhoyono abrahamsamadd rahmayadiedy lsowien mantanprojo walangkakek maherhilldi aagym adihidayatlcma,1
622,geloraco harap smoga menjd cikal propam institusi polri langsung bawah menkopolkam,2
623,erickthohir jokowi ga mutu kasih bantu mudah kredit khusus nya umkm limit ja,0
624,bluejeanshitam erickthohir jokowi mgkn teori ekonomi,1
625,erickthohir jokowi taek taek ngomong gak pake otak,0
626,erickthohir jokowi mas bro erickthohir pres bantu menteri kayak sampeyan bikin sistem ,0
627,erickthohir jokowi jauh ruko tutup sungguh luarbiasa pacu tumbuh ekonomi,1
628,rifgreen axamandiri cnbcindonesia jphvds jokowi erickthohir airlanggahrt listyosigitp bankmandiri ,1
629,mandaroalam erickthohir jokowi swasembada photo ,1
630,erickthohir jokowi haluuuuuuu,0
631,papaloren erickthohir jokowi lucu yasatu pasar doank udah jd indikasi tumbuh ekonomiko tu de plak,0
632,wisata unik alunalun desa coba lihat yok desawisatanusantara jokowi taufikmadjid imansyukri,2
633,satriohendri ahh bacot lu gendonsepatu lu sm sepatu jokowi mahal sepatu lu sai kopi buanggaasaat ehh hensat,0
634,undulh erickthohir jokowi ,1
635,erickthohir jokowi caaarraaa owhh kejut,0
636,kucingb drsito jokowi dasar bacot kadrun cuman bs teriak jual utang haram kaya hidup lu ,0
637,desawisatanusantara jokowi halimiskandarnu kemendes tppkemendes tppipmdbkl tppbenteng ferisusbkl,1
638,sehatroemah kemenkesri jokowi mohmahfudmd kemenkeu fpksdprri fraksipkb fraksigerindra fpddpr,1
639,gankofpetojo jokowi ayo mundur aja dukung,0
640,duckbusterr erickthohir jokowi sampe kaget raisa,0
641,rt cecangeulis menteri daya perempuan lindung anak bintang puspayoga batas akses mampu ,2
642,erickthohir jokowi adu harga beri uang harap redam kecewa ra,1
643,rt cecangeulis presiden jokowi tolak kabupaten subang provinsi jawa barat kunjung kerja selasa ,1
644,rt cecangeulis undangundang masyarakat harap kuat wujud konsep adil restoratif anut sistem rad,2
645,rt cecangeulis menteri atrbpn had tjahjanto pegawai bpn bukti pungli pecat jokowi,1
646,semutkecil kemenkesri jokowi mohmahfudmd kemenkeu fpksdprri fraksipkb fraksigerindra fpddpr,1
647,erickthohir jokowi menteri bumn ilmu cetek ya ,0
648,odhe jokowi kspgoid tegur pecatpak dhe,1
649,rt nadinhang menteri didik budaya riset teknologi mendikbudristek nadiem makarim didik karak,2
650,rt nadinhang perintah jokowi menteri pupr bangun stadion multifungsi indoor multifunction stadium ims di,2
651,rt rudyfarthuack meinamaku wienakinasih divhumaspolri listyosigitp sich luka tembak aniaya teg,0
652,rt yopiluthfi erickthohir jokowi malih regulasi bijak yg nikmat rakyat banyakkalau sepe,2
653,jokowi gas pol tahan pangan tan syahrul yasin limpo naik harga cabai bawang ,1
654,erickthohir jokowi trus bikin lelucon wak,1
655,simbokesarah jokowi pil jokowi gak mr harrisonford ,0
656,rt nadinhang pegang bpn bukti pungli pecat atrbpn jokowi,1
657,rt nadinhang presiden jokowi tolak kabupaten subang jawa barat pagi pangkal tni au atang sendjaja kabupaten bogor,1
658,marquez jokowi lw ga sah nyindir jokowi kn balik dri kate lwlw kayak nya usap ma pak,0
659,rt nadinhang undangundang masyarakat harap tahap kerja sistem adil pidana,2
660,jokowi gas pol tahan pangan tan syahrul yasin limpo naik harga cabai bawang ,1
661,jokowi moga manfaat masyarakat,2
662,rt nadinhang sesuai arah presiden jokowi kemenpu tahap bangun infrastruktur dukung kembang kawasan,2
663,rt zainalabdialam erickthohir jokowi jokowi,1
664,rt rbassoeky amazingblitar desawisatanusantara tppiblitar tppiblitar tppblitar jokowi halimiskandarnu yusradaridesa tppkemend,1
665,jokowi gas pol tahan pangan tan syahrul yasin limpo naik harga cabai bawang ,1
666,aryprasetyo divhumaspolri listyosigitp nkrijokowisyoo dedimahardi nakula chusnulch dsyantie,1
667,rt inaleaks presiden jokowi nama pembangunanisme anggap kpk investor takut jabat bera,0
668,pssi pssi kemenporari jokowi indonesia out aff,1
669,jokowi gas pol tahan pangan tan syahrul yasin limpo naik harga cabai bawang ,1
670,rinjanijb jokowi officialpan manusia ga adab kenal etika,0
671,erickthohir jokowi bos bbm bos,0
672,syofiandemotor jokowi binofficialri nuchannels saidaqil msoekarnoputri rockcenternyc tiktoksupport but ye,1
673,ahmadsy jokowi yg untung,1
674,sehatroemah kemenkesri jokowi mohmahfudmd kemenkeu fpksdprri fraksipkb fraksigerindra fpddpr,2
675,rt abikasa kemendagri jokowi mohon batal sdh resah warga,2
